Technology,ISORTO,Plant Code,Nameplate Capacity (MW),LAT,LON,PLHTIAN,PLNGENAN,FC,MC
Solar Photovoltaic,PJM,62814,100.0,36.6867,-77.558,,184771.0,0.0,0.0
Solar Photovoltaic,PJM,62813,80.0,36.85,-78.45,,147209.0,0.0,0.0
Solar Photovoltaic,PJM,62798,100.0,36.003272,-77.696443,,224167.0,0.0,0.0
Solar Photovoltaic,PJM,62794,1.1,39.828501,-85.003765,,2039.0,0.0,0.0
Solar Photovoltaic,PJM,62792,12.6,40.13043,-84.25545,,21630.0,0.0,0.0
Solar Photovoltaic,PJM,62791,7.1,39.862889,-84.92966,,12944.0,0.0,0.0
Solar Photovoltaic,PJM,62876,1.3,39.222576,-76.469011,,2481.0,0.0,0.0
Solar Photovoltaic,PJM,62958,2.0,40.640209,-74.234881,,2467.0,0.0,0.0
Solar Photovoltaic,PJM,62959,50.0,36.931378,-79.358743,,79333.0,0.0,0.0
Solar Photovoltaic,PJM,63031,19.9,37.45,-76.45,,37459.0,0.0,0.0
Solar Photovoltaic,PJM,63029,150.0,40.659506,-83.813708,,285584.0,0.0,0.0
Solar Photovoltaic,PJM,63024,10.0,36.268007,-77.028205,,20738.0,0.0,0.0
Solar Photovoltaic,PJM,63075,2.0,38.789216,-76.800911,,2814.0,0.0,0.0
Solar Photovoltaic,PJM,63073,2.0,41.8233,-88.3378,,3480.0,0.0,0.0
Solar Photovoltaic,PJM,63072,2.0,39.41805,-76.39772,,3778.0,0.0,0.0
Solar Photovoltaic,PJM,63071,1.3,42.110925,-88.240254,,1939.0,0.0,0.0
Solar Photovoltaic,PJM,63070,1.5,42.164,-88.383,,2091.0,0.0,0.0
Solar Photovoltaic,PJM,63069,1.9,42.164,-88.4625,,2874.0,0.0,0.0
Solar Photovoltaic,PJM,62991,20.0,39.87817,-77.769144,,32299.0,0.0,0.0
Solar Photovoltaic,PJM,62990,20.0,39.904211,-77.814218,,36734.0,0.0,0.0
Solar Photovoltaic,PJM,62989,13.5,40.139673,-77.609986,,23445.0,0.0,0.0
Solar Photovoltaic,PJM,62616,1.5,40.859343,-74.302956,,1742.0,0.0,0.0
Solar Photovoltaic,PJM,62612,1.9,40.313573,-74.4847,,2983.0,0.0,0.0
Solar Photovoltaic,PJM,62598,1.4,40.666976,-74.407814,,1452.0,0.0,0.0
Solar Photovoltaic,PJM,62586,2.0,40.777783,-74.427242,,2739.0,0.0,0.0
Solar Photovoltaic,PJM,62628,1.7,39.498961,-76.146055,,2958.0,0.0,0.0
Solar Photovoltaic,PJM,62629,2.3,39.493704,-76.146701,,4024.0,0.0,0.0
Solar Photovoltaic,PJM,62638,8.8,40.757615,-74.958162,,13268.0,0.0,0.0
Solar Photovoltaic,PJM,62637,7.5,40.614955,-75.156486,,11116.0,0.0,0.0
Solar Photovoltaic,PJM,62544,80.6,35.596814,-76.763849,,149177.0,0.0,0.0
Solar Photovoltaic,PJM,62746,3.4,40.237803,-74.314421,,4309.0,0.0,0.0
Solar Photovoltaic,PJM,62739,3.8,39.409744,-75.218545,,6236.0,0.0,0.0
Solar Photovoltaic,PJM,62758,59.6,36.59,-77.65,,95299.0,0.0,0.0
Solar Photovoltaic,PJM,62730,88.2,38.015735,-78.043131,,129525.0,0.0,0.0
Solar Photovoltaic,PJM,62780,1.5,37.657039,-76.383228,,3193.0,0.0,0.0
Solar Photovoltaic,PJM,62770,6.5,39.83901,-84.825585,,10641.0,0.0,0.0
Solar Photovoltaic,PJM,62768,80.0,36.818554,-78.771892,,53616.0,0.0,0.0
Solar Photovoltaic,PJM,62720,2.0,38.94843,-76.300435,,3961.0,0.0,0.0
Solar Photovoltaic,PJM,62713,10.0,40.836806,-75.065465,,15888.0,0.0,0.0
Solar Photovoltaic,PJM,62675,175.0,37.437106,-77.158736,,350646.0,0.0,0.0
Solar Photovoltaic,PJM,62680,0.4,40.888632,-74.122229,,5911.0,0.0,0.0
Solar Photovoltaic,PJM,62680,0.8,40.888632,-74.122229,,5911.0,0.0,0.0
Solar Photovoltaic,PJM,62680,1.6,40.888632,-74.122229,,5911.0,0.0,0.0
Solar Photovoltaic,PJM,62712,2.6,40.09283,-74.807687,,4697.0,0.0,0.0
Solar Photovoltaic,PJM,62710,1.0,38.874155,-77.006676,,1679.0,0.0,0.0
Solar Photovoltaic,PJM,62693,5.0,36.283778,-76.602304,,5762.0,0.0,0.0
Solar Photovoltaic,PJM,62692,5.0,36.33,-76.058,,5604.0,0.0,0.0
Solar Photovoltaic,PJM,62691,5.0,36.27,-76.033,,5476.0,0.0,0.0
Solar Photovoltaic,PJM,62686,3.6,40.198529,-76.161594,,5843.0,0.0,0.0
Solar Photovoltaic,PJM,62680,1.4,40.888632,-74.122229,,5911.0,0.0,0.0
Solar Photovoltaic,PJM,66203,27.5,38.535,-77.097,,34955.0,0.0,0.0
Solar Photovoltaic,PJM,66097,1.4,40.941757,-76.893549,,2165.0,0.0,0.0
Solar Photovoltaic,PJM,66089,4.0,40.535,-74.563,,3696.0,0.0,0.0
Solar Photovoltaic,PJM,66162,2.0,39.309529,-76.979146,,3481.0,0.0,0.0
Solar Photovoltaic,PJM,66160,2.0,39.30953,-76.979147,,3439.0,0.0,0.0
Solar Photovoltaic,PJM,66140,1.4,41.614879,-83.557244,,2431.0,0.0,0.0
Solar Photovoltaic,PJM,66119,5.0,37.52885,-77.95977,,,0.0,0.0
Solar Photovoltaic,PJM,66116,5.0,37.481141,-77.967885,,,0.0,0.0
Solar Photovoltaic,PJM,66115,5.0,37.45383,-77.95682,,,0.0,0.0
Solar Photovoltaic,PJM,66428,1.2,40.768436,-74.498739,,3635.0,0.0,0.0
Solar Photovoltaic,PJM,66428,1.2,40.768436,-74.498739,,3635.0,0.0,0.0
Solar Photovoltaic,PJM,66499,0.8,38.64022,-75.711068,,2622.0,0.0,0.0
